full.tax.name
Barleria observatrix
Dicliptera falcata
Hypoestes serpens
Erythrospermum monticulum
Sesuvium ayresii
Aerva congesta
Atriplex aellenii
Cyathula prostata
Crinum mauritianum
Poupartia borbonica
Poupartia pubescens
Xylopia amplexicaulis
Xylopia lamarckii
Xylopia richardii
Aphloia theiformis
Lilaeopsis mauritiana
Carissa spinarum
Cynhacum glomeratum
Cynhacum scopulosum
Cynhacum staubii
Ochrosia borbonica
Secamone dilapidans
Secamone volubilis
Tabernaemontana persicariifolia
Tylophora coriacea
Lemna perpusilla
Spirodela punctata
Polycias maraisiana
Polyscias dichroostachya
Polyscias gracilis
Polyscias mauritiana
Polyscias neraudiana
Polyscias paniculata
Acanthophoenix rubra
Dictyosperma album
Hyophorbe amaricaulis
Hyophorbe lagenicaulis
Hyophorbe vaughanii
Latania loddigesii
Tectiphiala ferox
Asparagus umbellulatus
Cordyline mauritiana
Dracaena concinna
Dracaena floribunda
Dracaena reflexa
Aloe purpurea
Aloe tormentorii
Dianella ensifolia
Astelia hemichrysa
Blumea axillaris
Cylindrocline commersonii
Cylindrocline lorencei
Distephanus populifolius
Cyanthillium cinereum
Emilia lyrata
Faujasiopsis boivinii
Faujasiopsis flexuosa
Faujasiopsis reticulata
Helichrysum caespitosum
Helichrysum mauritianum
Helichrysum proteoides
Helichrysum yuccifolium
Hubertia ambavilla
Lactuca indica
Launaea sarmentosa
Monarrhenus salicifolius
Parafaujasia mauritiana
Psiadia arguta
Psiadia canescens
Psiadia cataractae
Psiadia lithospermifolia
Psiadia mauritiana
Psiadia penninervia
Psiadia pollicina
Psiadia terebinthina
Psiadia viscosa
Senecio lamarckianus
Senecio 
Begonia salaziensis
Colea colei
Cynoglossum rochelia
Cynoglossum rochelia
Hilsenbergia petiolaris
Tournefortia argentea
Tournefortia bojeri
Rorippa insularis
Canarium paniculatum
Protium obtisufolium
Rhipsalis baccifera
Calophyllum eputamen
Calophyllum parviflorum
Calophyllum tacamahaca
Lobelia erinus
Lobelia fervens
Lobelia serpens
Lobelia telephioides
Nesocodon mauritianus
Ceratophyllum demersum
Celtis philippensis
Cassine orientalis
Gymnosporia pyria
Pleurostylia leucocarpa
Grangeria borbonica
Terminalia bentzoë
Agelaea pentagyna
Cnestis glabra
Decalobanthus peltatus
Dichondra repens
Ipomoea pes-caprae
Ipomoea violacea
Stictocardia tiiliiolia
Weinmannia mauritiana
Weinmannia tinctoria
Halodule uninervis
Halodule wrightii
Syringodium isoetifolium
Thallassodendron cilliatum
Bulbostylis barbata
Carex borbonica
Carex boryana
Carex brunnea
Carex ramosa
Carex wahlenbergiana
Carpha nitens
Cladium mariscus
Costularia melicoides
Cyperus aromaticus
Cyperus alterniflorus
Cyperus articulatus
Cyperus brevifolius
Cyperus compressus
Cyperus cuspidatus
Cyperus cyperoides
Cyperus difformis
Cyperus distans
Cyperus dubius
Cyperus flavidus
Cyperus intactus
Cyperus laevigatus
Cyperus latifolius
Cyperus longifolius
Cyperus luteus
Cyperus macrostachyos
Cyperus mindorensis
Cyperus polystachyos
Cyperus prolifer
Cyperus rotundus
Cyperus rubicundus
Cyperus stoloniferus
Eleocharis caduca
Eleocharis dulcis
Eleocharis minuta
Eleocharis variegata
Fimbristylis cincta
Fimbristylis complanata
Fimbristylis cymosa
Fimbristylis dichotoma
Fimbristylis ferruginea
Fimbristylis littoralis
Fuirena umbellata
Hypolytrum mauritianum
Lipocarpha albescens
Machaerina anceps
Machaerina iridifolia
Rhynchosphora rugosa
Rhyncosphora corymbosa
Rhyncosphora holoscheonoides
Schoenoplectiella erecta
Schoenoplectiella mucronata
Scleria anomala
Scleria sieberi
Diospyros angulata
Diospyros boutoniana
Diospyros chrysophyllos
Diospyros egrettarum
Diospyros hemiteles
Diospyros leucomelas
Diospyros melanida
Diospyros neraudii
Diospyros nodosa
Diospyros pterocalyx
Diospyros revaughanii
Diospyros tessellaria
Elaeocarpus bojeri
Elaeocarpus integrifolius
Agarista salicifolia
Erica brachyphylla
Erica mauritiensis
Eriocaulon johnstonii
Eriocaulon willdenovianum
Erythroxylum hypericifolium
Erythroxylum laurifolium
Erythroxylum macrocarpum
Erythroxylum sideroxyloides
Acalypha filiformis
Acalypha integrifolia
Acalypha marginata
Claoxylon grandifolium
Claoxylon linostachys
Claoxylon parviflorum
Croton fothergillifolius
Croton grangerioides
Croton tiliifolius
Croton vaughanii
Euphorbia dracunculoides
Euphorbia pyrifolia
Euphorbia thymifolia
Hancea integrifolia
Macaranga mauritiana
Orfilea neraudiana
Stillingia lineata
Abrus precatorius
Aeschynomene brevifolia
Albizia vaughanii
Alysicarpus vaginalis
Cajanus scarabaeoides
Canavalia cathartica
Canavalia rosea
Clitoria ternatea
Crotalia retusa
Dendrolobium umbelatum
Desmodium adscendens
Desmodium ramosissimum
Desmodium salicifolium
Desmodium triflorum
Entada rheedii
Erythrina variegata
Gagnebina pterocarpa
Galactia tenuiflora
Guilandina bonduc
Hylodesmum repandum
Macrotyloma axillare
Psophocarpus scandens
Sophora tomentosa
Tephrosia pumilla
Tephrosia purpurea
Teramnus labialis
Vigna marina
Zornia gibbosa
Zornia vaughaniana
Flagellaria indica
Scaevola plumieri
Scaevola taccada
Laurembergia tetranda
Hernandia mascarenensis
Hernandia nymphaeifolia
Halophila ovalis
Halophila stipulacea
Hydrilla verticillata
Najas australis
Najas marina
Harungana madagascariensis
Hypoxis angustifolia
Apodytes dimidiata
Juncus effusus
Volkemeria heterophylla
Plectranthus madagascariensis
Premna serratifolia
Cassytha filiformis
Ocotea laevigata
Ocotea lancilimba
Ocotea mascarena
Ocotea obtusata
Foetidia mauritiana
Utricularia gibba
Utricularia stellaris
Hugonia serrata
Hugonia tomentosa
Lindernia rotundifolia
Torenia thouarsii
Geniostoma angustifolium
Geniostoma borbonicum
Geniostoma pedunculatum
Bakerella hoyifolia
Ammannia capitellata
Pemphis acidula
Tetrataxis salicifolia
Abutilon mauritianum
Abutilon pannosum
Astiria rosea
Dombeya acutangula
Dombeya ferruginea
Dombeya mauritiana
Dombeya populnea
Dombeya sevathianii
Hibiscus boryanus
Hibiscus columnaris
Hibiscus fragilis
Hibiscus genevii
Hibiscus ovalifolius
Sida pusilla
Talipariti tiliaceum
Thespesia populnea
Trochetia blackburniana
Trochetia boutoniana
Trochetia parviflora
Trochetia triflora
Trochetia uniflora
Urena lobata
Memecylon cordatum
Memecylon laxiflorum
Memecylon ovatifolium
Warneckea trinenis
Turraea dargentiana
Turraea oppositifolia
Turraea ovata
Turraea rigida
Turraea rutilans
Turraea thouarsiana
Turraea trichopoda
Cissampelos pareira
Nymphoides indica
Monimia ovalifolia
Tambourissa amplifolia
Tambourissa cocottensis
Tambourissa cordifolia
Tambourissa ficus
Tambourissa pedicellata
Tambourissa peltata
Tambourissa quadrifida
Tambourissa sieberi
Tambourissa tau
Tambourissa tetragona
Ficus densifolia
Ficus lateriflora
Ficus mauritiana
Ficus reflexa
Ficus rubra
Eugenia alletiana
Eugenia bojeri
Eugenia crassipetala
Eugenia elliptica
Eugenia hastilis
Eugenia kanakana
Eugenia longuensis
Eugenia lucida
Eugenia neofasciculata
Eugenia orbiculata
Eugenia petrinensis
Eugenia pixidata
Eugenia pollicina
Eugenia psidioideum
Eugenia sieberi
Eugenia tinifolia
Eugenia vaughanii
Psiloxylon mauritianum
Syzygium bijouxii
Syzygium commersonii
Syzygium contractum
Syzygium coriaceum
Syzygium cymosum
Syzygium duponti
Syzygium glomeratum
Syzygium guehoi
Syzygium latifolium
Syzygium mamillatum
Syzygium mauritianum
Syzygium petrinense
Syzygium populifolium
Syzygium pyneei
Syzygium rampans
Syzygium vaughanii
Boerhavia coccinea
Pisonia costata
Pisonia lanceolata
Nymphea nouchali
Ochna mauritiana
Olax psittacorum
Jasminum fluminense
Noronhia broomeana
Noronhia macrophylla
Noronhia obovata
Olea europea
Olea lancea
Ludwigia adscendens
Ludwigia decurrens
Ludwigia octovalvis
Aeranthes arachnitis
Aeranthes tenella
Angraecopsis parviflora
