id	taxonID	acceptedNameUsageID	scientificName	namePublishedIn	namePublishedInYear	kingdom	phylum	class	order	family	genus	specificEpithet	full.tax.name	taxonRank	scientificNameAuthorship	vernacularName	taxonomicStatus	taxonRemarks	language
MUS_001	MUS_001		Barleria observatrix Bosser & Heine			Plantae	Tracheophyta	Magnoliopsida	Lamiales	Acanthaceae	Barleria	observatrix	Barleria observatrix	species	Bosser & Heine		accepted		
MUS_002	MUS_002		Dicliptera falcata (Lam.) Bosser & Heine			Plantae	Tracheophyta	Magnoliopsida	Lamiales	Acanthaceae	Dicliptera	falcata	Dicliptera falcata	species	(Lam.) Bosser & Heine		accepted		
MUS_003	MUS_003		Hypoestes serpens (Vahl)  R. Br.			Plantae	Tracheophyta	Magnoliopsida	Lamiales	Acanthaceae	Hypoestes	serpens	Hypoestes serpens	species	(Vahl)  R. Br.		accepted		
MUS_004	MUS_004		Erythrospermum monticulum Thou.			Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Achariaceae	Erythrospermum	monticulum	Erythrospermum monticulum	species	Thou.		accepted		
MUS_005	MUS_005		Sesuvium ayresii Marais			Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Aizoaceae	Sesuvium	ayresii	Sesuvium ayresii	species	Marais		accepted		
MUS_006	MUS_006		Aerva congesta Balf.f. ex Baker			Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Aerva	congesta	Aerva congesta	species	Balf.f. ex Baker		accepted		
MUS_007	MUS_007		Atriplex aellenii Sukhor.			Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Atriplex	aellenii	Atriplex aellenii	species	Sukhor.		accepted		
MUS_008	MUS_008		Cyathula prostata (L.) Blume			Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Cyathula	prostata	Cyathula prostata	species	(L.) Blume		accepted		
MUS_009	MUS_009		Crinum mauritianum Lodd.			Plantae	Tracheophyta	Magnoliopsida	Asparagales	Amaryllidaceae	Crinum	mauritianum	Crinum mauritianum	species	Lodd.		accepted		
MUS_010	MUS_010		Poupartia borbonica J.F. Gmel.			Plantae	Tracheophyta	Magnoliopsida	Sapindales	Anacardiaceae	Poupartia	borbonica	Poupartia borbonica	species	J.F. Gmel.		accepted		
MUS_011	MUS_011		Poupartia pubescens Baker			Plantae	Tracheophyta	Magnoliopsida	Sapindales	Anacardiaceae	Poupartia	pubescens	Poupartia pubescens	species	Baker		accepted		
MUS_012	MUS_012		Xylopia amplexicaulis (Lam.) Baill.			Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Xylopia	amplexicaulis	Xylopia amplexicaulis	species	(Lam.) Baill.		accepted		
MUS_013	MUS_013		Xylopia lamarckii Baill.			Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Xylopia	lamarckii	Xylopia lamarckii	species	Baill.		accepted		
MUS_014	MUS_014		Xylopia richardii Boivin ex Baill.			Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Xylopia	richardii	Xylopia richardii	species	Boivin ex Baill.		accepted		
MUS_015	MUS_015		Aphloia theiformis (Vahl) Bennett			Plantae	Tracheophyta	Magnoliopsida	Crossomatales	Aphloiaceae	Aphloia	theiformis	Aphloia theiformis	species	(Vahl) Bennett		accepted		
MUS_016	MUS_016		Lilaeopsis mauritiana G.Petersen & Affolter			Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Lilaeopsis	mauritiana	Lilaeopsis mauritiana	species	G.Petersen & Affolter		accepted		
